text,source,date,url,truth_score,verdict
Finance Ministry signals market volatility after global cues,,,,94.72,TRUE
Auto sector confirms policy changes amid inflation concerns,,,,96.54,TRUE
Indian banks announces credit growth improvement,,,,95.81,TRUE
PSU banks expects credit growth improvement,,,,95.26,TRUE
IT stocks signals policy changes amid inflation concerns,,,,95.77,TRUE
Sensex indicates strong quarterly earnings growth,,,,94.36,TRUE
Nifty updates new regulatory framework,,,,95.28,TRUE
Auto sector records new regulatory framework,,,,95.41,TRUE
IT stocks reports market volatility after global cues,,,,94.86,TRUE
RBI expects strong quarterly earnings growth,,,,95.26,TRUE
Finance Ministry revises market volatility after global cues,,,,94.98,TRUE
RBI revises investment activity increase,,,,95.4,TRUE
IT stocks announces strong quarterly earnings growth,,,,95.71,TRUE
Mutual fund industry records interest rate outlook,,,,95.24,TRUE
Nifty indicates market volatility after global cues,,,,93.73,TRUE
Sensex records economic recovery trends,,,,94.09,TRUE
IT stocks expects strong quarterly earnings growth,,,,95.6,TRUE
IT stocks announces credit growth improvement,,,,95.74,TRUE
PSU banks indicates economic recovery trends,,,,94.69,TRUE
Nifty signals new regulatory framework,,,,94.53,TRUE
Nifty shows investment activity increase,,,,94.83,TRUE
IT stocks expects economic recovery trends,,,,94.74,TRUE
IT stocks shows interest rate outlook,,,,95.31,TRUE
Mutual fund industry revises new regulatory framework,,,,95.81,TRUE
Auto sector signals sector growth outlook,,,,95.48,TRUE
IT stocks updates new regulatory framework,,,,95.65,TRUE
RBI shows new regulatory framework,,,,95.46,TRUE
IT stocks updates interest rate outlook,,,,95.47,TRUE
Sensex revises investment activity increase,,,,94.77,TRUE
Sensex confirms credit growth improvement,,,,95.69,TRUE
Finance Ministry expects market volatility after global cues,,,,94.76,TRUE
Finance Ministry announces investment activity increase,,,,95.27,TRUE
Indian banks confirms market volatility after global cues,,,,95.22,TRUE
Auto sector confirms economic recovery trends,,,,95.79,TRUE
Finance Ministry expects strong quarterly earnings growth,,,,95.72,TRUE
Auto sector updates new regulatory framework,,,,96.23,TRUE
Finance Ministry updates new regulatory framework,,,,95.53,TRUE
PSU banks expects strong quarterly earnings growth,,,,95.48,TRUE
Auto sector updates policy changes amid inflation concerns,,,,96.49,TRUE
Indian banks confirms foreign investment inflows,,,,95.75,TRUE
Sensex reports interest rate outlook,,,,94.36,TRUE
Nifty records economic recovery trends,,,,94.1,TRUE
Auto sector shows credit growth improvement,,,,96.42,TRUE
Sensex records interest rate outlook,,,,94.03,TRUE
Auto sector reports economic recovery trends,,,,95.79,TRUE
Indian banks updates policy changes amid inflation concerns,,,,96.13,TRUE
Indian banks announces economic recovery trends,,,,95.15,TRUE
Mutual fund industry signals market volatility after global cues,,,,95.4,TRUE
Nifty updates strong quarterly earnings growth,,,,95.32,TRUE
RBI shows foreign investment inflows,,,,95.59,TRUE
SEBI signals policy changes amid inflation concerns,,,,95.89,TRUE
Finance Ministry reports new regulatory framework,,,,95.26,TRUE
IT stocks records economic recovery trends,,,,94.5,TRUE
SEBI expects interest rate outlook,,,,94.95,TRUE
RBI announces market volatility after global cues,,,,94.71,TRUE
RBI updates interest rate outlook,,,,94.95,TRUE
PSU banks updates strong quarterly earnings growth,,,,95.56,TRUE
Mutual fund industry indicates economic recovery trends,,,,95.44,TRUE
Mutual fund industry announces investment activity increase,,,,95.97,TRUE
IT stocks reports credit growth improvement,,,,95.85,TRUE
Mutual fund industry signals credit growth improvement,,,,96.17,TRUE
SEBI reports investment activity increase,,,,94.92,TRUE
IT stocks shows economic recovery trends,,,,95.09,TRUE
RBI revises new regulatory framework,,,,95.17,TRUE
Finance Ministry shows credit growth improvement,,,,95.61,TRUE
SEBI expects credit growth improvement,,,,95.3,TRUE
IT stocks announces policy changes amid inflation concerns,,,,95.8,TRUE
Indian banks shows interest rate outlook,,,,95.39,TRUE
Indian banks reports investment activity increase,,,,95.44,TRUE
Finance Ministry records policy changes amid inflation concerns,,,,95.7,TRUE
Indian banks signals investment activity increase,,,,94.54,TRUE
SEBI records interest rate outlook,,,,94.34,TRUE
IT stocks updates investment activity increase,,,,95.65,TRUE
Sensex expects sector growth outlook,,,,94.92,TRUE
Indian banks expects strong quarterly earnings growth,,,,95.72,TRUE
Mutual fund industry revises credit growth improvement,,,,95.85,TRUE
Finance Ministry signals new regulatory framework,,,,95.31,TRUE
IT stocks revises economic recovery trends,,,,94.77,TRUE
PSU banks announces new regulatory framework,,,,95.03,TRUE
SEBI revises market volatility after global cues,,,,94.5,TRUE
Nifty reports credit growth improvement,,,,95.26,TRUE
Auto sector revises market volatility after global cues,,,,95.39,TRUE
SEBI signals sector growth outlook,,,,95.26,TRUE
IT stocks reports strong quarterly earnings growth,,,,95.56,TRUE
RBI confirms foreign investment inflows,,,,95.71,TRUE
Indian banks indicates credit growth improvement,,,,95.52,TRUE
Finance Ministry expects interest rate outlook,,,,95.23,TRUE
IT stocks confirms policy changes amid inflation concerns,,,,96.0,TRUE
IT stocks reports new regulatory framework,,,,95.15,TRUE
Auto sector expects sector growth outlook,,,,95.96,TRUE
SEBI records policy changes amid inflation concerns,,,,95.57,TRUE
IT stocks announces new regulatory framework,,,,95.17,TRUE
PSU banks shows investment activity increase,,,,95.08,TRUE
PSU banks records foreign investment inflows,,,,94.59,TRUE
RBI announces interest rate outlook,,,,95.18,TRUE
IT stocks updates foreign investment inflows,,,,95.78,TRUE
SEBI updates interest rate outlook,,,,95.05,TRUE
Sensex shows foreign investment inflows,,,,94.96,TRUE
RBI signals credit growth improvement,,,,95.32,TRUE
Mutual fund industry shows strong quarterly earnings growth,,,,96.07,TRUE
Auto sector updates economic recovery trends,,,,95.96,TRUE
Indian banks updates credit growth improvement,,,,96.18,TRUE
Indian banks expects policy changes amid inflation concerns,,,,95.81,TRUE
PSU banks reports new regulatory framework,,,,94.84,TRUE
Indian banks updates strong quarterly earnings growth,,,,95.8,TRUE
Sensex records sector growth outlook,,,,94.84,TRUE
Sensex reports new regulatory framework,,,,94.55,TRUE
RBI indicates credit growth improvement,,,,95.09,TRUE
Mutual fund industry confirms economic recovery trends,,,,95.77,TRUE
Finance Ministry announces foreign investment inflows,,,,95.34,TRUE
Indian banks revises market volatility after global cues,,,,94.84,TRUE
Mutual fund industry expects new regulatory framework,,,,95.61,TRUE
Indian banks indicates economic recovery trends,,,,94.98,TRUE
PSU banks signals market volatility after global cues,,,,94.12,TRUE
RBI records policy changes amid inflation concerns,,,,95.38,TRUE
PSU banks indicates policy changes amid inflation concerns,,,,95.52,TRUE
IT stocks announces market volatility after global cues,,,,94.74,TRUE
PSU banks expects investment activity increase,,,,94.74,TRUE
RBI signals policy changes amid inflation concerns,,,,95.71,TRUE
Indian banks reports foreign investment inflows,,,,95.6,TRUE
Indian banks updates economic recovery trends,,,,95.49,TRUE
Mutual fund industry reports foreign investment inflows,,,,95.92,TRUE
PSU banks indicates investment activity increase,,,,94.74,TRUE
Mutual fund industry announces sector growth outlook,,,,95.99,TRUE
RBI indicates interest rate outlook,,,,94.4,TRUE
IT stocks revises interest rate outlook,,,,94.76,TRUE
RBI updates credit growth improvement,,,,95.56,TRUE
PSU banks shows market volatility after global cues,,,,94.65,TRUE
Indian banks shows sector growth outlook,,,,95.36,TRUE
IT stocks reports foreign investment inflows,,,,95.68,TRUE
Mutual fund industry shows foreign investment inflows,,,,96.12,TRUE
Mutual fund industry indicates foreign investment inflows,,,,95.86,TRUE
Indian banks updates market volatility after global cues,,,,95.18,TRUE
PSU banks updates foreign investment inflows,,,,95.64,TRUE
Auto sector shows interest rate outlook,,,,96.19,TRUE
PSU banks updates market volatility after global cues,,,,94.93,TRUE
Auto sector confirms investment activity increase,,,,96.04,TRUE
SEBI records sector growth outlook,,,,95.14,TRUE
PSU banks announces sector growth outlook,,,,95.07,TRUE
IT stocks confirms foreign investment inflows,,,,95.75,TRUE
RBI signals foreign investment inflows,,,,95.14,TRUE
Sensex signals sector growth outlook,,,,94.3,TRUE
Sensex updates market volatility after global cues,,,,94.37,TRUE
PSU banks confirms strong quarterly earnings growth,,,,95.51,TRUE
Finance Ministry shows investment activity increase,,,,95.33,TRUE
Auto sector expects credit growth improvement,,,,96.16,TRUE
IT stocks records investment activity increase,,,,94.85,TRUE
PSU banks records strong quarterly earnings growth,,,,94.96,TRUE
Indian banks revises foreign investment inflows,,,,95.62,TRUE
Sensex expects investment activity increase,,,,94.11,TRUE
Indian banks announces new regulatory framework,,,,95.31,TRUE
Nifty shows sector growth outlook,,,,94.84,TRUE
Indian banks expects interest rate outlook,,,,95.22,TRUE
IT stocks records sector growth outlook,,,,95.23,TRUE
SEBI signals economic recovery trends,,,,94.59,TRUE
Auto sector records investment activity increase,,,,95.32,TRUE
IT stocks signals interest rate outlook,,,,94.4,TRUE
RBI reports strong quarterly earnings growth,,,,95.26,TRUE
Mutual fund industry updates interest rate outlook,,,,95.9,TRUE
Nifty confirms foreign investment inflows,,,,95.57,TRUE
SEBI revises policy changes amid inflation concerns,,,,95.54,TRUE
Auto sector updates sector growth outlook,,,,95.79,TRUE
Nifty indicates policy changes amid inflation concerns,,,,95.16,TRUE
Sensex updates new regulatory framework,,,,94.98,TRUE
SEBI signals new regulatory framework,,,,95.22,TRUE
Finance Ministry shows economic recovery trends,,,,95.18,TRUE
RBI revises interest rate outlook,,,,95.28,TRUE
Nifty records strong quarterly earnings growth,,,,95.06,TRUE
IT stocks signals foreign investment inflows,,,,95.22,TRUE
Auto sector confirms new regulatory framework,,,,96.06,TRUE
SEBI announces policy changes amid inflation concerns,,,,95.54,TRUE
IT stocks shows credit growth improvement,,,,95.61,TRUE
PSU banks indicates foreign investment inflows,,,,95.23,TRUE
Mutual fund industry indicates interest rate outlook,,,,95.38,TRUE
Auto sector revises economic recovery trends,,,,95.75,TRUE
IT stocks updates economic recovery trends,,,,95.31,TRUE
SEBI confirms credit growth improvement,,,,95.74,TRUE
Finance Ministry expects sector growth outlook,,,,95.72,TRUE
Indian banks updates sector growth outlook,,,,95.73,TRUE
PSU banks updates policy changes amid inflation concerns,,,,95.92,TRUE
Nifty indicates interest rate outlook,,,,94.12,TRUE
Sensex shows strong quarterly earnings growth,,,,94.91,TRUE
SEBI revises sector growth outlook,,,,95.1,TRUE
Sensex records strong quarterly earnings growth,,,,95.06,TRUE
Auto sector signals strong quarterly earnings growth,,,,96.17,TRUE
Indian banks signals new regulatory framework,,,,95.01,TRUE
Mutual fund industry signals economic recovery trends,,,,95.49,TRUE
IT stocks records foreign investment inflows,,,,95.1,TRUE
PSU banks shows credit growth improvement,,,,95.39,TRUE
Auto sector indicates foreign investment inflows,,,,95.97,TRUE
Mutual fund industry confirms sector growth outlook,,,,96.09,TRUE
PSU banks expects economic recovery trends,,,,94.63,TRUE
SEBI indicates foreign investment inflows,,,,94.63,TRUE
Finance Ministry shows market volatility after global cues,,,,94.94,TRUE
Auto sector revises strong quarterly earnings growth,,,,96.02,TRUE
Mutual fund industry signals new regulatory framework,,,,95.93,TRUE
Sensex reports policy changes amid inflation concerns,,,,95.55,TRUE
RBI indicates foreign investment inflows,,,,95.08,TRUE
Finance Ministry reports sector growth outlook,,,,95.68,TRUE
Auto sector indicates economic recovery trends,,,,95.5,TRUE
Auto sector updates investment activity increase,,,,96.22,TRUE
PSU banks revises new regulatory framework,,,,94.83,TRUE
RBI confirms strong quarterly earnings growth,,,,95.67,TRUE
Auto sector expects policy changes amid inflation concerns,,,,96.33,TRUE
Nifty updates economic recovery trends,,,,94.94,TRUE
Indian banks confirms policy changes amid inflation concerns,,,,96.05,TRUE
PSU banks announces policy changes amid inflation concerns,,,,95.7,TRUE
RBI confirms market volatility after global cues,,,,95.09,TRUE
IT stocks signals new regulatory framework,,,,95.06,TRUE
IT stocks confirms investment activity increase,,,,95.38,TRUE
Mutual fund industry confirms new regulatory framework,,,,96.01,TRUE
SEBI confirms new regulatory framework,,,,95.14,TRUE
PSU banks confirms credit growth improvement,,,,95.7,TRUE
Nifty announces new regulatory framework,,,,94.74,TRUE
IT stocks expects foreign investment inflows,,,,95.19,TRUE
RBI records strong quarterly earnings growth,,,,95.1,TRUE
RBI confirms policy changes amid inflation concerns,,,,95.97,TRUE
Mutual fund industry announces interest rate outlook,,,,95.98,TRUE
SEBI updates credit growth improvement,,,,95.67,TRUE
Finance Ministry reports strong quarterly earnings growth,,,,95.66,TRUE
Mutual fund industry reports sector growth outlook,,,,95.89,TRUE
Auto sector revises investment activity increase,,,,95.84,TRUE
Nifty shows policy changes amid inflation concerns,,,,95.5,TRUE
PSU banks updates interest rate outlook,,,,95.36,TRUE
IT stocks confirms economic recovery trends,,,,95.06,TRUE
Nifty reports investment activity increase,,,,94.91,TRUE
IT stocks reports policy changes amid inflation concerns,,,,95.99,TRUE
Auto sector reports investment activity increase,,,,96.02,TRUE
Auto sector reports policy changes amid inflation concerns,,,,96.43,TRUE
Mutual fund industry revises foreign investment inflows,,,,96.2,TRUE
Nifty reports foreign investment inflows,,,,95.09,TRUE
Mutual fund industry records credit growth improvement,,,,95.85,TRUE
PSU banks announces strong quarterly earnings growth,,,,95.58,TRUE
Sensex reports investment activity increase,,,,94.91,TRUE
RBI expects policy changes amid inflation concerns,,,,95.38,TRUE
Finance Ministry shows strong quarterly earnings growth,,,,95.54,TRUE
Nifty confirms policy changes amid inflation concerns,,,,95.86,TRUE
SEBI confirms policy changes amid inflation concerns,,,,95.81,TRUE
Sensex confirms new regulatory framework,,,,95.09,TRUE
Nifty announces strong quarterly earnings growth,,,,95.34,TRUE
Finance Ministry reports foreign investment inflows,,,,95.7,TRUE
RBI signals new regulatory framework,,,,94.98,TRUE
RBI records new regulatory framework,,,,94.62,TRUE
Finance Ministry confirms credit growth improvement,,,,95.59,TRUE
RBI reports new regulatory framework,,,,94.8,TRUE
Sensex reports foreign investment inflows,,,,95.09,TRUE
PSU banks expects sector growth outlook,,,,95.48,TRUE
IT stocks revises new regulatory framework,,,,94.65,TRUE
Mutual fund industry expects foreign investment inflows,,,,95.75,TRUE
Finance Ministry records sector growth outlook,,,,95.24,TRUE
Auto sector signals new regulatory framework,,,,95.83,TRUE
Finance Ministry announces strong quarterly earnings growth,,,,95.76,TRUE
RBI signals strong quarterly earnings growth,,,,95.43,TRUE
PSU banks confirms economic recovery trends,,,,94.84,TRUE
Sensex records credit growth improvement,,,,94.91,TRUE
PSU banks confirms interest rate outlook,,,,95.11,TRUE
Auto sector confirms strong quarterly earnings growth,,,,96.3,TRUE
Sensex reports market volatility after global cues,,,,94.33,TRUE
Nifty signals credit growth improvement,,,,94.87,TRUE
IT stocks confirms interest rate outlook,,,,95.35,TRUE
Sensex records new regulatory framework,,,,94.58,TRUE
Indian banks expects economic recovery trends,,,,94.92,TRUE
RBI shows interest rate outlook,,,,95.32,TRUE
RBI confirms credit growth improvement,,,,95.95,TRUE
Nifty announces investment activity increase,,,,94.76,TRUE
RBI announces investment activity increase,,,,95.16,TRUE
Indian banks shows market volatility after global cues,,,,94.9,TRUE
Nifty confirms market volatility after global cues,,,,94.97,TRUE
Sensex updates foreign investment inflows,,,,95.12,TRUE
Indian banks confirms investment activity increase,,,,95.42,TRUE
Finance Ministry announces economic recovery trends,,,,95.11,TRUE
IT stocks indicates sector growth outlook,,,,94.83,TRUE
SEBI announces foreign investment inflows,,,,94.94,TRUE
Auto sector reports sector growth outlook,,,,95.75,TRUE
IT stocks expects policy changes amid inflation concerns,,,,95.68,TRUE
IT stocks revises sector growth outlook,,,,94.95,TRUE
Nifty indicates investment activity increase,,,,94.28,TRUE
Nifty indicates sector growth outlook,,,,94.57,TRUE
Auto sector shows foreign investment inflows,,,,96.39,TRUE
Sensex shows economic recovery trends,,,,94.46,TRUE
Mutual fund industry signals strong quarterly earnings growth,,,,96.26,TRUE
Finance Ministry reports policy changes amid inflation concerns,,,,96.07,TRUE
Indian banks signals foreign investment inflows,,,,95.17,TRUE
Auto sector indicates interest rate outlook,,,,95.43,TRUE
RBI reports policy changes amid inflation concerns,,,,95.73,TRUE
Nifty revises investment activity increase,,,,94.85,TRUE
Sensex indicates credit growth improvement,,,,94.61,TRUE
Sensex revises strong quarterly earnings growth,,,,95.05,TRUE
RBI tightens bank lending norms for stock brokers,The Indian Express,2026-02-14T16:25:11Z,,73.44,TRUE
"UPSC Essentials | Daily subject-wise quiz : Economy MCQs on PMKVY scheme, exchange traded funds and more (Week 149)",The Indian Express,2026-02-12T14:42:26Z,,56.51,TRUE
Your arbitrage fund returns will fall by about 0.5% next year due to this increased STT: Deepak Shenoy,Economictimes.com,2026-02-01T10:50:36Z,,71.78,TRUE
Global Intelligence Crisis,Citriniresearch.com,2026-02-22T20:56:18Z,,87.31,TRUE
"UPSC Key: Union Budget 2026-27, National Population Register, and Tariff",The Indian Express,2026-02-02T13:32:14Z,,80.34,TRUE
"SP Group's Rs 25,000 crore bond issue price likely to be lower",The Times of India,2026-02-26T00:54:16Z,,80.34,TRUE
Links 2/4/2026,Nakedcapitalism.com,2026-02-04T11:55:54Z,,80.34,TRUE
360 ONE's Mayur Patel spots opportunities in 4 sectors for your FY27 portfolio,The Times of India,2026-02-27T03:30:00Z,,80.34,TRUE
"Sitharaman counters LoP on farmers, food security & data",The Indian Express,2026-02-12T00:00:49Z,,80.34,TRUE
Time to be selective in NBFCs as earnings premium shrinks: Viral Shah,The Times of India,2026-02-24T08:44:42Z,,87.59,TRUE
"Union Budget 2026: FM announces panel to review banking sector, move aimed at strengthening banking system",The Indian Express,2026-02-01T07:35:44Z,,92.35,TRUE
UPSC Essentials | Mains answer practice — GS 3 : Questions on thorium-based nuclear power and India’s economic competitiveness (Week 140),The Indian Express,2026-02-03T12:08:33Z,,88.93,TRUE
QUALCOMM Incorporated (QCOM) Signs Deal with Tata Electronics to Produce Automotive Modules in India,Yahoo Entertainment,2026-02-25T09:56:03Z,,80.34,TRUE
Budget moves forward with future as focus but ducks key reforms,The Indian Express,2026-02-02T01:52:58Z,,80.34,TRUE
US-India trade deal: What we know so far,RT,2026-02-03T11:24:08Z,,54.42,TRUE
RBI gives approval to SBI MF to acquire up to 9.99% in Bandhan Bank,BusinessLine,2026-02-26T15:42:20Z,,89.75,TRUE
Read Trump's 2026 State of the Union address,NPR,2026-02-25T06:07:40Z,,80.34,TRUE
RBI will have to lend a hand to support the government’s large borrowing,BusinessLine,2026-02-01T14:45:47Z,,89.75,TRUE
"Top Business & Market Headlines Today — BL Morning Report, Feb 16, 2026",BusinessLine,2026-02-15T10:09:35Z,,87.31,TRUE
"Vertical Aerospace: Commercial Wins, Stock Price Lows",MarketBeat,2026-02-07T15:28:00Z,,47.36,FAKE
"Jobs, cash, loans: Can Bangladesh’s parties deliver on election promises?",Al Jazeera English,2026-02-03T05:31:22Z,,80.34,TRUE
